annotation_id	source
0	B-ALL_00_Grid5_c0008
1	B-ALL_00_Grid5_c0011
2	B-ALL_00_Grid5_c0043
3	B-ALL_00_Grid5_c0064
4	B-ALL_00_Grid5_c0083
5	B-ALL_00_Grid5_c0103
6	B-ALL_00_Grid5_c0116
7	B-ALL_00_Grid5_c0192
8	B-ALL_00_Grid5_c0212
9	B-ALL_00_Grid5_c0223
10	B-ALL_00_Grid5_c0250
11	B-ALL_00_Grid5_c0283
12	B-ALL_00_Grid5_c0321
13	B-ALL_00_Grid5_c0328
14	B-ALL_00_Grid5_c0330
15	B-ALL_00_Grid5_c0358
16	B-ALL_00_Grid5_c0359
17	B-ALL_00_Grid5_c0363
18	B-ALL_00_Grid5_c0423
19	B-ALL_00_Grid5_c0478
20	B-ALL_00_Grid5_c0484
21	B-ALL_00_Grid5_c0507
22	B-ALL_00_Grid5_c0509
23	B-ALL_00_Grid5_c0526
24	B-ALL_00_Grid5_c0531
25	B-ALL_00_Grid5_c0534
26	B-ALL_00_Grid5_c0573
27	B-ALL_00_Grid5_c0594
28	B-ALL_00_Grid5_c0628
29	B-ALL_00_Grid5_c0630
30	B-ALL_00_Grid5_c0644
31	B-ALL_00_Grid5_c0654
32	B-ALL_00_Grid5_c0707
33	B-ALL_00_Grid5_c0711
34	B-ALL_00_Grid5_c0714
35	B-ALL_00_Grid5_c0732
36	B-ALL_00_Grid5_c0755
37	B-ALL_00_Grid5_c0782
38	B-ALL_00_Grid5_c0783
39	B-ALL_00_Grid5_c0822
40	B-ALL_00_Grid5_c0823
41	B-ALL_00_Grid5_c0843
42	B-ALL_00_Grid5_c0881
43	B-ALL_00_Grid5_c0891
44	B-ALL_00_Grid5_c0930
45	B-ALL_00_Grid5_c0942
46	B-ALL_00_Grid5_c0984
47	B-ALL_00_Grid5_c1020
48	B-ALL_00_Grid5_c1028
49	B-ALL_00_Grid5_c1059
50	B-ALL_00_Grid5_c1062
51	B-ALL_00_Grid5_c1068
52	B-ALL_00_Grid5_c1071
53	B-ALL_00_Grid5_c1131
54	B-ALL_00_Grid5_c1135
55	B-ALL_00_Grid5_c1166
56	B-ALL_00_Grid5_c1173
57	B-ALL_00_Grid5_c1214
58	B-ALL_00_Grid5_c1232
59	B-ALL_00_Grid5_c1336
60	B-ALL_00_Grid5_c1430
61	B-ALL_00_Grid5_c1451
62	B-ALL_00_Grid5_c1525
63	B-CLL_00_Grid3_c0016
64	B-CLL_00_Grid3_c0081
65	B-CLL_00_Grid3_c0117
66	B-CLL_00_Grid3_c0132
67	B-CLL_00_Grid3_c0144
68	B-CLL_00_Grid3_c0165
69	B-CLL_00_Grid3_c0178
70	B-CLL_00_Grid3_c0240
71	B-CLL_00_Grid3_c0283
72	B-CLL_00_Grid3_c0326
73	B-CLL_00_Grid3_c0330
74	B-CLL_00_Grid3_c0398
75	B-CLL_00_Grid3_c0399
76	B-CLL_00_Grid3_c0511
77	B-CLL_00_Grid3_c0547
78	B-CLL_00_Grid3_c0594
79	B-CLL_00_Grid3_c0652
80	B-CLL_00_Grid3_c0704
81	B-CLL_00_Grid3_c0727
82	B-CLL_00_Grid3_c0801
83	B-CLL_00_Grid3_c1026
84	B-CLL_00_Grid3_c1027
85	B-CLL_00_Grid3_c1031
86	B-CLL_00_Grid3_c1032
87	B-CLL_00_Grid3_c1059
88	B-CLL_00_Grid3_c1062
89	B-CLL_00_Grid3_c1063
90	B-CLL_00_Grid3_c1092
91	B-CLL_00_Grid3_c1116
92	B-CLL_01_Grid2_c014
93	B-CLL_01_Grid2_c043
94	B-CLL_01_Grid2_c071
95	B-CLL_01_Grid2_c090
96	B-CLL_01_Grid2_c094
97	B-CLL_01_Grid2_c112
98	B-CLL_01_Grid2_c113
99	B-CLL_01_Grid2_c130
100	B-CLL_01_Grid2_c133
101	B-CLL_01_Grid2_c138
102	B-CLL_01_Grid2_c141
103	B-CLL_01_Grid2_c176
104	B-CLL_01_Grid2_c182
105	B-CLL_01_Grid2_c227
106	B-CLL_01_Grid2_c242
107	B-CLL_01_Grid2_c301
108	B-CLL_01_Grid2_c345
109	B-CLL_01_Grid2_c348
110	B-CLL_01_Grid2_c371
111	B-CLL_01_Grid2_c415
112	B-CLL_01_Grid2_c428
113	B-CLL_01_Grid2_c554
114	B-CLL_01_Grid2_c575
115	B-CLL_01_Grid2_c603
116	B-CLL_01_Grid2_c633
117	B-CLL_01_Grid2_c634
118	B-CLL_01_Grid2_c678
119	B-CLL_01_Grid2_c687
120	B-CLL_01_Grid2_c695
121	B-CLL_01_Grid2_c724
122	B-CLL_01_Grid2_c729
123	B-CLL_01_Grid2_c763
124	B-CLL_01_Grid2_c779
125	B-CLL_01_Grid2_c785
126	CD138-BMNC_00_Grid4_c0010
127	CD138-BMNC_00_Grid4_c0041
128	CD138-BMNC_00_Grid4_c0090
129	CD138-BMNC_00_Grid4_c0110
130	CD138-BMNC_00_Grid4_c0113
131	CD138-BMNC_00_Grid4_c0123
132	CD138-BMNC_00_Grid4_c0193
133	CD138-BMNC_00_Grid4_c0229
134	CD138-BMNC_00_Grid4_c0451
135	CD138-BMNC_00_Grid4_c0459
136	CD138-BMNC_00_Grid4_c0502
137	CD138-BMNC_00_Grid4_c0527
138	CD138-BMNC_00_Grid4_c0532
139	CD138-BMNC_00_Grid4_c0575
140	CD138-BMNC_00_Grid4_c0685
141	CD138-BMNC_00_Grid4_c0769
142	CD138-BMNC_00_Grid4_c0847
143	CD138-BMNC_00_Grid4_c0851
144	CD138-BMNC_00_Grid4_c0856
145	CD138-BMNC_00_Grid4_c0913
146	CD138-BMNC_00_Grid4_c1038
147	CD138-BMNC_00_Grid4_c1102
148	CD138-BMNC_00_Grid4_c1106
149	CD138-BMNC_00_Grid4_c1161
150	CD138-BMNC_01_Grid5_c0051
151	CD138-BMNC_01_Grid5_c0094
152	CD138-BMNC_01_Grid5_c0099
153	CD138-BMNC_01_Grid5_c0101
154	CD138-BMNC_01_Grid5_c0105
155	CD138-BMNC_01_Grid5_c0160
156	CD138-BMNC_01_Grid5_c0172
157	CD138-BMNC_01_Grid5_c0176
158	CD138-BMNC_01_Grid5_c0198
159	CD138-BMNC_01_Grid5_c0290
160	CD138-BMNC_01_Grid5_c0312
161	CD138-BMNC_01_Grid5_c0320
162	CD138-BMNC_01_Grid5_c0362
163	CD138-BMNC_01_Grid5_c0366
164	CD138-BMNC_01_Grid5_c0429
165	CD138-BMNC_01_Grid5_c0430
166	CD138-BMNC_01_Grid5_c0432
167	CD138-BMNC_01_Grid5_c0436
168	CD138-BMNC_01_Grid5_c0437
169	CD138-BMNC_01_Grid5_c0445
170	CD138-BMNC_01_Grid5_c0451
171	CD138-BMNC_01_Grid5_c0456
172	CD138-BMNC_01_Grid5_c0502
173	CD138-BMNC_01_Grid5_c0524
174	CD138-BMNC_01_Grid5_c0525
175	CD138-BMNC_01_Grid5_c0536
176	CD138-BMNC_01_Grid5_c0572
177	CD138-BMNC_01_Grid5_c0576
178	CD138-BMNC_01_Grid5_c0598
179	CD138-BMNC_01_Grid5_c0651
180	CD138-BMNC_01_Grid5_c0677
181	CD138-BMNC_01_Grid5_c0695
182	CD138-BMNC_01_Grid5_c0728
183	CD138-BMNC_01_Grid5_c0747
184	CD138-BMNC_01_Grid5_c0756
185	CD138-BMNC_01_Grid5_c0783
186	CD138-BMNC_01_Grid5_c0784
187	CD138-BMNC_01_Grid5_c0833
188	CD138-BMNC_01_Grid5_c0838
189	CD138-BMNC_01_Grid5_c0864
190	CD138-BMNC_01_Grid5_c0907
191	CD138-BMNC_01_Grid5_c0914
192	CD138-BMNC_01_Grid5_c0924
193	CD138-BMNC_01_Grid5_c0936
194	CD138-BMNC_01_Grid5_c0977
195	CD138-BMNC_01_Grid5_c0993
196	CD138-BMNC_01_Grid5_c1048
197	CD138-BMNC_01_Grid5_c1051
198	CD138-BMNC_01_Grid5_c1057
199	CD138-BMNC_01_Grid5_c1064
200	CD138-BMNC_01_Grid5_c1130
201	CD138-BMNC_01_Grid5_c1133
202	CD138-BMNC_01_Grid5_c1147
203	CD138-BMNC_01_Grid5_c1148
204	CD138-BMNC_01_Grid5_c1173
205	CD138-BMNC_01_Grid5_c1233
206	CD138-BMNC_01_Grid5_c1251
207	CD138-BMNC_01_Grid5_c1262
208	CD138-BMNC_01_Grid5_c1275
209	CD138-BMNC_01_Grid5_c1304
210	CD138-BMNC_01_Grid5_c1325
211	CD138-BMNC_01_Grid5_c1344
212	CD138-BMNC_01_Grid5_c1345
213	CD138-BMNC_01_Grid5_c1383
214	CD138-BMNC_01_Grid5_c1404
215	CD138-BMNC_01_Grid5_c1417
216	CD138-BMNC_01_Grid5_c1423
217	CD138-BMNC_01_Grid5_c1440
218	CD138-BMNC_01_Grid5_c1470
219	CD138-BMNC_01_Grid5_c1492
220	CD138-BMNC_01_Grid5_c1504
221	CD138-BMNC_01_Grid5_c1538
222	CD138-BMNC_01_Grid5_c1576
223	CD138-BMNC_01_Grid5_c1631
224	CD138-BMNC_01_Grid5_c1639
225	CD138-BMNC_01_Grid5_c1675
226	CD138-BMNC_01_Grid5_c1694
227	CD138-BMNC_01_Grid5_c1714
228	CD138-BMNC_01_Grid5_c1820
229	CD138-BMNC_01_Grid5_c1827
230	CD138-BMNC_01_Grid5_c1847
231	CD138-BMNC_01_Grid5_c1872
232	CD138-BMNC_01_Grid5_c1873
233	CD138-BMNC_02_Grid5_c0016
234	CD138-BMNC_02_Grid5_c0019
235	CD138-BMNC_02_Grid5_c0044
236	CD138-BMNC_02_Grid5_c0058
237	CD138-BMNC_02_Grid5_c0096
238	CD138-BMNC_02_Grid5_c0119
239	CD138-BMNC_02_Grid5_c0164
240	CD138-BMNC_02_Grid5_c0174
241	CD138-BMNC_02_Grid5_c0205
242	CD138-BMNC_02_Grid5_c0208
243	CD138-BMNC_02_Grid5_c0230
244	CD138-BMNC_02_Grid5_c0268
245	CD138-BMNC_02_Grid5_c0312
246	CD138-BMNC_02_Grid5_c0348
247	CD138-BMNC_02_Grid5_c0370
248	CD138-BMNC_02_Grid5_c0385
249	CD138-BMNC_02_Grid5_c0425
250	CD138-BMNC_02_Grid5_c0455
251	CD138-BMNC_02_Grid5_c0457
252	CD138-BMNC_02_Grid5_c0459
253	CD138-BMNC_02_Grid5_c0497
254	CD138-BMNC_02_Grid5_c0541
255	CD138-BMNC_02_Grid5_c0572
256	CD138-BMNC_02_Grid5_c0587
257	CD138-BMNC_02_Grid5_c0591
258	CD138-BMNC_02_Grid5_c0617
259	CD138-BMNC_02_Grid5_c0640
260	CD138-BMNC_02_Grid5_c0665
261	CD138-BMNC_02_Grid5_c0688
262	CD138-BMNC_02_Grid5_c0719
263	CD138-BMNC_02_Grid5_c0747
264	CL_01_GridX3_c004
265	CL_01_GridX3_c073
266	CL_01_GridX3_c093
267	CL_01_GridX3_c120
268	CL_01_GridX3_c139
269	CL_01_GridX3_c144
270	CL_01_GridX3_c157
271	CL_01_GridX3_c205
272	CL_01_GridX3_c245
273	CL_01_GridX3_c262
274	CL_01_GridX3_c324
275	CL_01_GridX3_c330
276	CL_01_GridX3_c423
277	CL_02_Grid5_c035
278	CL_02_Grid5_c038
279	CL_02_Grid5_c052
280	CL_02_Grid5_c055
281	CL_02_Grid5_c062
282	CL_02_Grid5_c066
283	CL_02_Grid5_c068
284	CL_02_Grid5_c077
285	CL_02_Grid5_c094
286	CL_02_Grid5_c120
287	CL_02_Grid5_c129
288	CL_02_Grid5_c143
289	CL_02_Grid5_c155
290	CL_02_Grid5_c195
291	CL_02_Grid5_c246
292	CL_02_Grid5_c249
293	CL_02_Grid5_c255
294	CL_02_Grid5_c264
295	CL_02_Grid5_c279
296	CL_02_Grid5_c305
297	CL_02_Grid5_c361
298	CL_03_Grid4_c007
299	CL_03_Grid4_c017
300	CL_03_Grid4_c019
301	CL_03_Grid4_c030
302	CL_03_Grid4_c037
303	CL_03_Grid4_c116
304	CL_03_Grid4_c131
305	CL_03_Grid4_c188
306	CL_03_Grid4_c194
307	CL_03_Grid4_c195
308	CL_03_Grid4_c213
309	CL_03_Grid4_c241
310	CL_03_Grid4_c246
311	CL_03_Grid4_c270
312	CL_03_Grid4_c285
313	CL_03_Grid4_c297
314	CL_03_Grid4_c360
315	CL_03_Grid4_c363
316	CL_03_Grid4_c420
317	CTRL_00_Grid1_c015
318	CTRL_00_Grid1_c029
319	CTRL_00_Grid1_c051
320	CTRL_00_Grid1_c055
321	CTRL_00_Grid1_c172
322	CTRL_00_Grid1_c246
323	CTRL_00_Grid1_c256
324	CTRL_00_Grid2_c000
325	CTRL_00_Grid2_c030
326	CTRL_00_Grid2_c036
327	CTRL_00_Grid2_c114
328	CTRL_00_Grid2_c153
329	CTRL_00_Grid2_c164
330	CTRL_00_Grid2_c346
331	CTRL_00_Grid2_c424
332	CTRL_00_Grid6_c011
333	CTRL_00_Grid6_c051
334	CTRL_00_Grid6_c135
335	CTRL_00_Grid6_c206
336	CTRL_00_Grid6_c221
337	CTRL_00_Grid6_c242
338	CTRL_01_Grid3_c010
339	CTRL_01_Grid3_c014
340	CTRL_01_Grid3_c021
341	CTRL_01_Grid3_c049
342	CTRL_01_Grid3_c086
343	CTRL_01_Grid3_c114
344	CTRL_01_Grid3_c122
345	CTRL_01_Grid3_c134
346	CTRL_01_Grid3_c150
347	CTRL_01_Grid3_c156
348	CTRL_01_Grid3_c193
349	CTRL_01_Grid3_c196
350	CTRL_01_Grid7_c025
351	CTRL_01_Grid7_c035
352	CTRL_01_Grid7_c042
353	CTRL_01_Grid7_c049
354	CTRL_01_Grid7_c068
355	CTRL_01_Grid7_c070
356	CTRL_01_Grid7_c099
357	CTRL_01_Grid7_c117
358	CTRL_01_Grid7_c138
359	CTRL_01_Grid7_c153
360	CTRL_01_Grid7_c186
361	CTRL_01_Grid7_c205
362	CTRL_01_Grid7_c211
363	CTRL_01_Grid7_c225
364	CTRL_02_Grid3_c012
365	CTRL_02_Grid3_c051
366	CTRL_02_Grid3_c081
367	CTRL_02_Grid3_c097
368	CTRL_02_Grid3_c1108
369	CTRL_02_Grid3_c1150
370	CTRL_02_Grid3_c1156
371	CTRL_02_Grid3_c1209
372	CTRL_02_Grid3_c1233
373	CTRL_02_Grid3_c1243
374	CTRL_02_Grid3_c1246
375	CTRL_02_Grid3_c155
376	CTRL_02_Grid3_c159
377	CTRL_02_Grid3_c195
